Tempo ( s )	Posicao angular ( rad )
0.0000	0.000
0.0050	0.000
0.0100	0.000
0.0150	0.000
0.0200	0.000
0.0250	0.000
0.0300	0.000
0.0350	0.000
0.0400	0.000
0.0450	0.000
0.0500	0.000
0.0550	0.000
0.0600	0.000
0.0650	0.000
0.0700	0.000
0.0750	0.000
0.0800	0.000
0.0850	0.000
0.0900	0.000
0.0950	0.000
0.1000	0.000
0.1050	0.000
0.1100	0.000
0.1150	0.000
0.1200	0.000
0.1250	0.000
0.1300	0.000
0.1350	0.000
0.1400	0.000
0.1450	0.000
0.1500	0.000
0.1550	0.000
0.1600	0.000
0.1650	0.000
0.1700	0.000
0.1750	0.000
0.1800	0.000
0.1850	0.000
0.1900	0.000
0.1950	0.000
0.2000	0.000
0.2050	0.000
0.2100	0.000
0.2150	0.000
0.2200	0.000
0.2250	0.000
0.2300	0.000
0.2350	0.000
0.2400	0.000
0.2450	0.000
0.2500	0.000
0.2550	0.000
0.2600	0.000
0.2650	0.000
0.2700	0.000
0.2750	0.000
0.2800	0.000
0.2850	0.000
0.2900	0.000
0.2950	0.000
0.3000	0.000
0.3050	0.000
0.3100	0.000
0.3150	0.000
0.3200	0.000
0.3250	0.000
0.3300	0.000
0.3350	0.000
0.3400	0.000
0.3450	0.000
0.3500	0.000
0.3550	0.000
0.3600	0.000
0.3650	0.000
0.3700	0.000
0.3750	0.000
0.3800	0.000
0.3850	0.000
0.3900	0.000
0.3950	0.000
0.4000	0.000
0.4050	0.000
0.4100	0.000
0.4150	0.000
0.4200	0.000
0.4250	0.000
0.4300	0.000
0.4350	0.000
0.4400	0.000
0.4450	0.000
0.4500	0.000
0.4550	0.000
0.4600	0.000
0.4650	0.000
0.4700	0.000
0.4750	0.000
0.4800	0.000
0.4850	0.000
0.4900	0.000
0.4950	0.000
0.5000	0.000
0.5050	0.000
0.5100	0.000
0.5150	0.000
0.5200	0.000
0.5250	0.000
0.5300	0.000
0.5350	0.000
0.5400	0.000
0.5450	0.000
0.5500	0.000
0.5550	0.000
0.5600	0.000
0.5650	0.000
0.5700	0.000
0.5750	0.000
0.5800	0.000
0.5850	0.000
0.5900	0.000
0.5950	0.000
0.6000	0.000
0.6050	0.000
0.6100	0.000
0.6150	0.000
0.6200	0.000
0.6250	0.000
0.6300	0.000
0.6350	0.000
0.6400	0.000
0.6450	0.000
0.6500	0.000
0.6550	0.000
0.6600	0.000
0.6650	0.000
0.6700	0.000
0.6750	0.000
0.6800	0.000
0.6850	0.000
0.6900	0.000
0.6950	0.000
0.7000	0.002
0.7050	0.003
0.7100	0.006
0.7150	0.009
0.7200	0.014
0.7250	0.019
0.7300	0.024
0.7350	0.030
0.7400	0.036
0.7450	0.044
0.7500	0.050
0.7550	0.058
0.7600	0.066
0.7650	0.072
0.7700	0.080
0.7750	0.088
0.7800	0.094
0.7850	0.101
0.7900	0.108
0.7950	0.115
0.8000	0.121
0.8050	0.127
0.8100	0.134
0.8150	0.140
0.8200	0.146
0.8250	0.151
0.8300	0.156
0.8350	0.160
0.8400	0.165
0.8450	0.170
0.8500	0.174
0.8550	0.179
0.8600	0.184
0.8650	0.187
0.8700	0.190
0.8750	0.195
0.8800	0.196
0.8850	0.199
0.8900	0.203
0.8950	0.204
0.9000	0.206
0.9050	0.207
0.9100	0.209
0.9150	0.210
0.9200	0.210
0.9250	0.212
0.9300	0.212
0.9350	0.212
0.9400	0.212
0.9450	0.212
0.9500	0.212
0.9550	0.210
0.9600	0.209
0.9650	0.207
0.9700	0.206
0.9750	0.203
0.9800	0.199
0.9850	0.198
0.9900	0.195
0.9950	0.192
1.0000	0.188
1.0050	0.184
1.0100	0.181
1.0150	0.176
1.0200	0.171
1.0250	0.167
1.0300	0.162
1.0350	0.157
1.0400	0.151
1.0450	0.146
1.0500	0.140
1.0550	0.134
1.0600	0.127
1.0650	0.123
1.0700	0.116
1.0750	0.110
1.0800	0.102
1.0850	0.096
1.0900	0.090
1.0950	0.082
1.1000	0.074
1.1050	0.068
1.1100	0.060
1.1150	0.052
1.1200	0.044
1.1250	0.036
1.1300	0.030
1.1350	0.022
1.1400	0.014
1.1450	0.006
1.1500	-0.002
1.1550	-0.009
1.1600	-0.017
1.1650	-0.025
1.1700	-0.033
1.1750	-0.039
1.1800	-0.047
1.1850	-0.055
1.1900	-0.063
1.1950	-0.069
1.2000	-0.077
1.2050	-0.085
1.2100	-0.091
1.2150	-0.097
1.2200	-0.105
1.2250	-0.112
1.2300	-0.118
1.2350	-0.124
1.2400	-0.130
1.2450	-0.137
1.2500	-0.141
1.2550	-0.148
1.2600	-0.152
1.2650	-0.159
1.2700	-0.163
1.2750	-0.168
1.2800	-0.173
1.2850	-0.178
1.2900	-0.181
1.2950	-0.185
1.3000	-0.188
1.3050	-0.192
1.3100	-0.195
1.3150	-0.198
1.3200	-0.201
1.3250	-0.203
1.3300	-0.206
1.3350	-0.207
1.3400	-0.209
1.3450	-0.210
1.3500	-0.210
1.3550	-0.212
1.3600	-0.212
1.3650	-0.212
1.3700	-0.212
1.3750	-0.212
1.3800	-0.212
1.3850	-0.210
1.3900	-0.210
1.3950	-0.209
1.4000	-0.207
1.4050	-0.204
1.4100	-0.203
1.4150	-0.199
1.4200	-0.198
1.4250	-0.195
1.4300	-0.192
1.4350	-0.187
1.4400	-0.184
1.4450	-0.179
1.4500	-0.174
1.4550	-0.170
1.4600	-0.165
1.4650	-0.160
1.4700	-0.156
1.4750	-0.151
1.4800	-0.145
1.4850	-0.140
1.4900	-0.134
1.4950	-0.127
1.5000	-0.121
1.5050	-0.115
1.5100	-0.108
1.5150	-0.101
1.5200	-0.094
1.5250	-0.088
1.5300	-0.080
1.5350	-0.074
1.5400	-0.066
1.5450	-0.058
1.5500	-0.052
1.5550	-0.044
1.5600	-0.036
1.5650	-0.028
1.5700	-0.020
1.5750	-0.013
1.5800	-0.006
1.5850	0.002
1.5900	0.009
1.5950	0.017
1.6000	0.025
1.6050	0.033
1.6100	0.039
1.6150	0.047
1.6200	0.055
1.6250	0.063
1.6300	0.069
1.6350	0.077
1.6400	0.083
1.6450	0.091
1.6500	0.097
1.6550	0.104
1.6600	0.110
1.6650	0.116
1.6700	0.123
1.6750	0.129
1.6800	0.135
1.6850	0.141
1.6900	0.146
1.6950	0.152
1.7000	0.157
1.7050	0.162
1.7100	0.167
1.7150	0.171
1.7200	0.176
1.7250	0.179
1.7300	0.184
1.7350	0.187
1.7400	0.190
1.7450	0.193
1.7500	0.196
1.7550	0.198
1.7600	0.201
1.7650	0.203
1.7700	0.204
1.7750	0.206
1.7800	0.207
1.7850	0.207
1.7900	0.209
1.7950	0.209
1.8000	0.209
1.8050	0.209
1.8100	0.209
1.8150	0.209
1.8200	0.207
1.8250	0.206
1.8300	0.204
1.8350	0.203
1.8400	0.201
1.8450	0.198
1.8500	0.196
1.8550	0.193
1.8600	0.190
1.8650	0.187
1.8700	0.184
1.8750	0.179
1.8800	0.174
1.8850	0.171
1.8900	0.167
1.8950	0.162
1.9000	0.156
1.9050	0.151
1.9100	0.146
1.9150	0.140
1.9200	0.134
1.9250	0.129
1.9300	0.123
1.9350	0.116
1.9400	0.110
1.9450	0.104
1.9500	0.096
1.9550	0.090
1.9600	0.083
1.9650	0.075
1.9700	0.069
1.9750	0.061
1.9800	0.053
1.9850	0.047
1.9900	0.039
1.9950	0.031
2.0000	0.024
2.0050	0.017
2.0100	0.009
2.0150	0.002
2.0200	-0.006
2.0250	-0.014
2.0300	-0.022
2.0350	-0.030
2.0400	-0.036
2.0450	-0.044
2.0500	-0.052
2.0550	-0.058
2.0600	-0.066
2.0650	-0.074
2.0700	-0.080
2.0750	-0.088
2.0800	-0.094
2.0850	-0.101
2.0900	-0.107
2.0950	-0.113
2.1000	-0.119
2.1050	-0.126
2.1100	-0.132
2.1150	-0.138
2.1200	-0.143
2.1250	-0.149
2.1300	-0.154
2.1350	-0.159
2.1400	-0.163
2.1450	-0.168
2.1500	-0.173
2.1550	-0.178
2.1600	-0.181
2.1650	-0.185
2.1700	-0.188
2.1750	-0.192
2.1800	-0.195
2.1850	-0.196
2.1900	-0.199
2.1950	-0.201
2.2000	-0.204
2.2050	-0.206
2.2100	-0.206
2.2150	-0.207
2.2200	-0.209
2.2250	-0.209
2.2300	-0.209
2.2350	-0.209
2.2400	-0.209
2.2450	-0.209
2.2500	-0.209
2.2550	-0.207
2.2600	-0.206
2.2650	-0.204
2.2700	-0.203
2.2750	-0.201
2.2800	-0.198
2.2850	-0.195
2.2900	-0.192
2.2950	-0.188
2.3000	-0.185
2.3050	-0.182
2.3100	-0.178
2.3150	-0.174
2.3200	-0.170
2.3250	-0.165
2.3300	-0.160
2.3350	-0.156
2.3400	-0.149
2.3450	-0.145
2.3500	-0.138
2.3550	-0.134
2.3600	-0.127
2.3650	-0.121
2.3700	-0.115
2.3750	-0.108
2.3800	-0.102
2.3850	-0.096
2.3900	-0.088
2.3950	-0.082
2.4000	-0.075
2.4050	-0.068
2.4100	-0.060
2.4150	-0.053
2.4200	-0.046
2.4250	-0.038
2.4300	-0.031
2.4350	-0.024
2.4400	-0.016
2.4450	-0.008
2.4500	0.000
2.4550	0.006
2.4600	0.014
2.4650	0.022
2.4700	0.030
2.4750	0.036
2.4800	0.044
2.4850	0.052
2.4900	0.058
2.4950	0.066
2.5000	0.072
2.5050	0.080
2.5100	0.086
2.5150	0.094
2.5200	0.101
2.5250	0.107
2.5300	0.113
2.5350	0.119
2.5400	0.126
2.5450	0.132
2.5500	0.137
2.5550	0.143
2.5600	0.148
2.5650	0.152
2.5700	0.157
2.5750	0.162
2.5800	0.167
2.5850	0.171
2.5900	0.176
2.5950	0.179
2.6000	0.182
2.6050	0.185
2.6100	0.188
2.6150	0.192
2.6200	0.195
2.6250	0.196
2.6300	0.199
2.6350	0.201
2.6400	0.203
2.6450	0.204
2.6500	0.204
