Tempo ( s )	Posicao angular ( rad )
0.0000	0.000
0.0050	0.000
0.0100	0.000
0.0150	0.000
0.0200	0.000
0.0250	0.000
0.0300	0.000
0.0350	0.000
0.0400	0.000
0.0450	0.000
0.0500	0.000
0.0550	0.000
0.0600	0.000
0.0650	0.000
0.0700	0.000
0.0750	0.000
0.0800	0.000
0.0850	0.000
0.0900	0.000
0.0950	0.000
0.1000	0.000
0.1050	0.000
0.1100	0.000
0.1150	0.000
0.1200	0.000
0.1250	0.000
0.1300	0.000
0.1350	0.000
0.1400	0.000
0.1450	0.000
0.1500	0.000
0.1550	0.000
0.1600	0.000
0.1650	0.000
0.1700	0.000
0.1750	0.000
0.1800	0.000
0.1850	0.000
0.1900	0.000
0.1950	0.000
0.2000	0.000
0.2050	0.000
0.2100	0.000
0.2150	0.000
0.2200	0.000
0.2250	0.000
0.2300	0.000
0.2350	0.000
0.2400	0.000
0.2450	0.000
0.2500	0.000
0.2550	0.000
0.2600	0.000
0.2650	0.000
0.2700	0.000
0.2750	0.000
0.2800	0.000
0.2850	0.000
0.2900	0.000
0.2950	0.000
0.3000	0.000
0.3050	0.000
0.3100	0.000
0.3150	0.000
0.3200	0.000
0.3250	0.000
0.3300	0.000
0.3350	0.000
0.3400	0.000
0.3450	0.000
0.3500	0.000
0.3550	0.000
0.3600	0.000
0.3650	0.000
0.3700	0.000
0.3750	0.000
0.3800	0.000
0.3850	0.000
0.3900	0.000
0.3950	0.000
0.4000	0.000
0.4050	0.000
0.4100	0.000
0.4150	0.000
0.4200	0.000
0.4250	0.000
0.4300	0.000
0.4350	0.000
0.4400	0.000
0.4450	0.000
0.4500	0.000
0.4550	0.000
0.4600	0.000
0.4650	0.000
0.4700	0.000
0.4750	0.000
0.4800	0.000
0.4850	0.000
0.4900	0.000
0.4950	0.000
0.5000	0.000
0.5050	0.000
0.5100	0.000
0.5150	0.000
0.5200	0.000
0.5250	0.000
0.5300	0.000
0.5350	0.000
0.5400	0.000
0.5450	0.000
0.5500	0.000
0.5550	0.000
0.5600	0.000
0.5650	0.000
0.5700	0.000
0.5750	0.000
0.5800	0.000
0.5850	0.000
0.5900	0.000
0.5950	0.000
0.6000	0.000
0.6050	0.000
0.6100	0.000
0.6150	0.000
0.6200	0.000
0.6250	0.000
0.6300	0.000
0.6350	0.000
0.6400	0.000
0.6450	0.000
0.6500	0.000
0.6550	0.000
0.6600	0.000
0.6650	0.000
0.6700	0.000
0.6750	0.000
0.6800	0.000
0.6850	0.000
0.6900	0.000
0.6950	0.000
0.7000	0.000
0.7050	0.000
0.7100	0.000
0.7150	0.000
0.7200	0.000
0.7250	0.000
0.7300	0.000
0.7350	0.000
0.7400	0.000
0.7450	0.000
0.7500	0.000
0.7550	0.002
0.7600	0.002
0.7650	0.002
0.7700	0.003
0.7750	0.005
0.7800	0.005
0.7850	0.006
0.7900	0.008
0.7950	0.009
0.8000	0.011
0.8050	0.013
0.8100	0.014
0.8150	0.016
0.8200	0.017
0.8250	0.019
0.8300	0.022
0.8350	0.024
0.8400	0.025
0.8450	0.028
0.8500	0.030
0.8550	0.031
0.8600	0.035
0.8650	0.036
0.8700	0.039
0.8750	0.041
0.8800	0.044
0.8850	0.046
0.8900	0.049
0.8950	0.050
0.9000	0.053
0.9050	0.055
0.9100	0.058
0.9150	0.060
0.9200	0.063
0.9250	0.066
0.9300	0.068
0.9350	0.071
0.9400	0.072
0.9450	0.075
0.9500	0.077
0.9550	0.080
0.9600	0.083
0.9650	0.085
0.9700	0.088
0.9750	0.090
0.9800	0.093
0.9850	0.094
0.9900	0.096
0.9950	0.099
1.0000	0.101
1.0050	0.102
1.0100	0.104
1.0150	0.105
1.0200	0.107
1.0250	0.108
1.0300	0.110
1.0350	0.112
1.0400	0.113
1.0450	0.115
1.0500	0.116
1.0550	0.116
1.0600	0.118
1.0650	0.119
1.0700	0.119
1.0750	0.121
1.0800	0.121
1.0850	0.121
1.0900	0.123
1.0950	0.123
1.1000	0.123
1.1050	0.123
1.1100	0.123
1.1150	0.123
1.1200	0.123
1.1250	0.123
1.1300	0.123
1.1350	0.123
1.1400	0.123
1.1450	0.123
1.1500	0.121
1.1550	0.121
1.1600	0.119
1.1650	0.119
1.1700	0.118
1.1750	0.118
1.1800	0.116
1.1850	0.115
1.1900	0.113
1.1950	0.112
1.2000	0.110
1.2050	0.108
1.2100	0.107
1.2150	0.105
1.2200	0.104
1.2250	0.102
1.2300	0.101
1.2350	0.097
1.2400	0.096
1.2450	0.094
1.2500	0.091
1.2550	0.090
1.2600	0.086
1.2650	0.083
1.2700	0.082
1.2750	0.079
1.2800	0.077
1.2850	0.074
1.2900	0.071
1.2950	0.068
1.3000	0.066
1.3050	0.063
1.3100	0.060
1.3150	0.057
1.3200	0.053
1.3250	0.050
1.3300	0.047
1.3350	0.044
1.3400	0.041
1.3450	0.038
1.3500	0.035
1.3550	0.031
1.3600	0.028
1.3650	0.025
1.3700	0.022
1.3750	0.019
1.3800	0.016
1.3850	0.011
1.3900	0.008
1.3950	0.005
1.4000	0.002
1.4050	-0.002
1.4100	-0.005
1.4150	-0.008
1.4200	-0.011
1.4250	-0.016
1.4300	-0.019
1.4350	-0.022
1.4400	-0.025
1.4450	-0.028
1.4500	-0.031
1.4550	-0.035
1.4600	-0.038
1.4650	-0.041
1.4700	-0.044
1.4750	-0.047
1.4800	-0.050
1.4850	-0.053
1.4900	-0.057
1.4950	-0.060
1.5000	-0.063
1.5050	-0.066
1.5100	-0.068
1.5150	-0.071
1.5200	-0.074
1.5250	-0.075
1.5300	-0.079
1.5350	-0.082
1.5400	-0.083
1.5450	-0.086
1.5500	-0.088
1.5550	-0.091
1.5600	-0.093
1.5650	-0.096
1.5700	-0.097
1.5750	-0.099
1.5800	-0.101
1.5850	-0.104
1.5900	-0.105
1.5950	-0.107
1.6000	-0.108
1.6050	-0.110
1.6100	-0.112
1.6150	-0.113
1.6200	-0.113
1.6250	-0.115
1.6300	-0.116
1.6350	-0.118
1.6400	-0.118
1.6450	-0.119
1.6500	-0.119
1.6550	-0.121
1.6600	-0.121
1.6650	-0.121
1.6700	-0.123
1.6750	-0.123
1.6800	-0.123
1.6850	-0.123
1.6900	-0.123
1.6950	-0.123
1.7000	-0.123
1.7050	-0.123
1.7100	-0.123
1.7150	-0.123
1.7200	-0.123
1.7250	-0.121
1.7300	-0.121
1.7350	-0.119
1.7400	-0.119
1.7450	-0.118
1.7500	-0.118
1.7550	-0.116
1.7600	-0.115
1.7650	-0.113
1.7700	-0.112
1.7750	-0.110
1.7800	-0.108
1.7850	-0.107
1.7900	-0.105
1.7950	-0.104
1.8000	-0.102
1.8050	-0.101
1.8100	-0.097
1.8150	-0.096
1.8200	-0.094
1.8250	-0.091
1.8300	-0.090
1.8350	-0.086
1.8400	-0.085
1.8450	-0.082
1.8500	-0.080
1.8550	-0.077
1.8600	-0.074
1.8650	-0.072
1.8700	-0.069
1.8750	-0.066
1.8800	-0.063
1.8850	-0.060
1.8900	-0.058
1.8950	-0.055
1.9000	-0.052
1.9050	-0.049
1.9100	-0.046
1.9150	-0.042
1.9200	-0.039
1.9250	-0.036
1.9300	-0.033
1.9350	-0.030
1.9400	-0.027
1.9450	-0.024
1.9500	-0.019
1.9550	-0.016
1.9600	-0.013
1.9650	-0.009
1.9700	-0.006
1.9750	-0.003
1.9800	0.000
1.9850	0.003
1.9900	0.006
1.9950	0.011
2.0000	0.014
2.0050	0.017
2.0100	0.020
2.0150	0.024
2.0200	0.027
2.0250	0.030
2.0300	0.033
2.0350	0.036
2.0400	0.039
2.0450	0.042
2.0500	0.046
2.0550	0.049
2.0600	0.052
2.0650	0.055
2.0700	0.058
2.0750	0.061
2.0800	0.063
2.0850	0.066
2.0900	0.069
2.0950	0.072
2.1000	0.074
2.1050	0.077
2.1100	0.080
2.1150	0.082
2.1200	0.085
2.1250	0.086
2.1300	0.090
2.1350	0.091
2.1400	0.094
2.1450	0.096
2.1500	0.097
2.1550	0.101
2.1600	0.102
2.1650	0.104
2.1700	0.105
2.1750	0.107
2.1800	0.108
2.1850	0.110
2.1900	0.112
2.1950	0.113
2.2000	0.113
2.2050	0.115
2.2100	0.116
2.2150	0.116
2.2200	0.118
2.2250	0.119
2.2300	0.119
2.2350	0.119
2.2400	0.121
2.2450	0.121
2.2500	0.121
2.2550	0.121
2.2600	0.121
2.2650	0.121
2.2700	0.121
2.2750	0.121
2.2800	0.121
2.2850	0.121
2.2900	0.121
2.2950	0.121
2.3000	0.121
2.3050	0.119
2.3100	0.119
2.3150	0.118
2.3200	0.118
2.3250	0.116
2.3300	0.116
2.3350	0.115
2.3400	0.113
2.3450	0.112
2.3500	0.110
2.3550	0.108
2.3600	0.107
2.3650	0.105
2.3700	0.104
2.3750	0.102
2.3800	0.101
2.3850	0.099
2.3900	0.096
2.3950	0.094
2.4000	0.093
2.4050	0.090
2.4100	0.088
2.4150	0.085
2.4200	0.083
2.4250	0.080
2.4300	0.077
2.4350	0.075
2.4400	0.072
2.4450	0.069
2.4500	0.068
2.4550	0.064
2.4600	0.061
2.4650	0.058
2.4700	0.055
2.4750	0.052
2.4800	0.049
2.4850	0.046
2.4900	0.042
2.4950	0.039
2.5000	0.036
2.5050	0.033
2.5100	0.030
2.5150	0.027
2.5200	0.024
2.5250	0.020
2.5300	0.017
2.5350	0.014
2.5400	0.011
2.5450	0.008
2.5500	0.005
2.5550	0.002
2.5600	-0.003
2.5650	-0.006
2.5700	-0.009
2.5750	-0.013
2.5800	-0.016
2.5850	-0.019
2.5900	-0.022
2.5950	-0.025
2.6000	-0.028
2.6050	-0.031
2.6100	-0.035
2.6150	-0.038
2.6200	-0.041
2.6250	-0.044
2.6300	-0.047
2.6350	-0.050
2.6400	-0.053
2.6450	-0.057
2.6500	-0.060
2.6550	-0.063
2.6600	-0.066
2.6650	-0.068
2.6700	-0.071
